DoW,Time,BigC,MediumC,SmallC
3,08:00,0,0,0
3,09:00,1,0,8
3,10:00,1,0,14
3,11:00,1,2,18
3,12:00,1,2,19
3,13:00,0,0,7
3,14:00,1,1,7
3,15:00,1,1,17
3,16:00,2,1,21
3,17:00,2,2,16
3,18:00,2,1,4
3,19:00,1,1,19
3,20:00,1,1,19
3,21:00,1,0,17
2,08:00,0,0,0
2,09:00,2,2,17
2,10:00,2,1,16
2,11:00,1,2,20
2,12:00,1,2,17
2,13:00,1,0,10
2,14:00,2,1,21
2,15:00,2,2,19
2,16:00,2,1,17
2,17:00,2,0,16
2,18:00,1,0,8
2,19:00,1,0,17
2,20:00,0,0,18
2,21:00,0,0,17
2,22:00,0,0,3
1,08:00,0,0,0
1,09:00,2,1,8
1,10:00,2,1,14
1,11:00,2,2,20
1,12:00,2,2,18
1,13:00,2,1,4
1,14:00,2,2,13
1,15:00,2,2,19
1,16:00,2,1,20
1,17:00,2,0,16
1,18:00,2,1,10
1,19:00,2,2,21
1,20:00,2,2,21
1,21:00,2,1,18
1,22:00,0,1,2
4,08:00,0,0,0
4,09:00,0,1,13
4,10:00,0,1,18
4,11:00,2,2,21
4,12:00,2,2,21
4,13:00,0,0,2
4,14:00,1,1,15
4,15:00,2,2,21
4,16:00,2,2,21
4,17:00,2,2,19
4,18:00,1,2,12
4,19:00,2,2,14
4,20:00,1,1,12
4,21:00,1,0,8
4,22:00,1,0,0
5,08:00,0,0,0
5,09:00,2,1,6
5,10:00,2,2,14
5,11:00,2,2,21
5,12:00,2,2,21
5,13:00,0,1,2
5,14:00,1,1,6
5,15:00,1,1,17
5,16:00,2,1,17
5,17:00,1,1,13
5,18:00,0,0,0
5,19:00,0,0,0
5,20:00,0,0,0
5,21:00,0,0,0
5,22:00,0,0,0
